Occupational Interest,Job Zone,Code,Occupation
98,4,17-2011.00,Aerospace Engineers
98,4,17-2141.02,Automotive Engineers
97,4,17-2051.00,Civil Engineers
96,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
96,3,17-3027.00,Mechanical Engineering Technologists and Technicians
96,4,17-2141.00,Mechanical Engineers
94,4,17-2072.00,"Electronics Engineers, Except Computer"
94,4,17-2141.01,Fuel Cell Engineers
94,4,17-2161.00,Nuclear Engineers
94,4,17-2199.08,Robotics Engineers
93,4,17-2041.00,Chemical Engineers
93,4,17-2061.00,Computer Hardware Engineers
93,4,17-2071.00,Electrical Engineers
93,4,17-2121.00,Marine Engineers and Naval Architects
93,4,17-2199.05,Mechatronics Engineers
93,5,17-2199.06,Microsystems Engineers
93,5,17-2199.09,Nanosystems Engineers
93,4,17-2199.07,Photonics Engineers
91,3,17-3027.01,Automotive Engineering Technicians
90,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
90,4,17-2021.00,Agricultural Engineers
90,4,17-2031.00,Bioengineers and Biomedical Engineers
90,4,17-2131.00,Materials Engineers
90,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
90,4,17-2171.00,Petroleum Engineers
89,3,49-2091.00,Avionics Technicians
89,3,17-3022.00,Civil Engineering Technologists and Technicians
89,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
89,4,17-2112.03,Manufacturing Engineers
89,3,53-5031.00,Ship Engineers
89,4,17-2051.01,Transportation Engineers
87,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
87,4,17-2111.02,Fire-Prevention and Protection Engineers
87,3,17-3029.08,Photonics Technicians
87,3,17-3024.01,Robotics Technicians
86,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
86,4,19-2032.00,Materials Scientists
85,4,17-2081.00,Environmental Engineers
83,3,17-3013.00,Mechanical Drafters
83,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
83,3,15-1241.01,Telecommunications Engineering Specialists
82,4,17-3025.00,Environmental Engineering Technologists and Technicians
81,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
81,3,19-4051.00,Nuclear Technicians
