Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
E-Mail,How frequently does your job require you to use E-mail?,93,Every day,,,,,,,,
Face-to-Face Discussions with Individuals and Within Teams,How frequently does your job require face-to-face discussions with individuals and within teams?,80,Every day,20,Once a week or more but not every day,,,,,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,63,Extremely important,27,Very important,,,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,77,More than 40 hours,20,40 hours,,,,,,
Telephone Conversations,How often do you have telephone conversations in this job?,60,Every day,30,Once a week or more but not every day,,,,,,
Work With or Contribute to a Work Group or Team,How important is it to work with or contribute to a work group or team in this job?,53,Extremely important,37,Very important,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in an environmentally controlled environment (like a warehouse with air conditioning)?,72,Every day,,,,,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",38,A lot of freedom,48,Some freedom,14,Limited freedom,,,,
"Determine Tasks, Priorities and Goals","How much freedom does the worker have in determining the tasks, priorities, or goals of the job?",28,A lot of freedom,52,Some freedom,21,Limited freedom,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,27,Very important results,53,Important results,13,Moderate results,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",33,Constant contact with others,37,Contact with others most of the time,23,Contact with others about half the time,,,,
Health and Safety of Other Workers,How much responsibility is there for the health and safety of others in this job?,33,Very high responsibility,40,High responsibility,13,Moderate responsibility,,,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,23,Every day,43,Once a week or more but not every day,33,Once a month or more but not every week,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How often does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hearing protection, hard hats or life-jackets?",30,Every day,43,Once a week or more but not every day,17,Once a year or more but not every month,,,,
Frequency of Decision Making,"How often is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",30,Every day,13,Once a week or more but not every day,40,Once a month or more but not every week,17,Once a year or more but not every month,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not easily correctable?,20,Extremely serious,40,Very serious,17,Serious,20,Fairly serious,,
Coordinate or Lead Others in Accomplishing Work Activities,How important is it to coordinate or lead others (not as a supervisor or team leader) in accomplishing work activities in this job?,23,Extremely important,23,Very important,37,Important,13,Fairly important,,
"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,17,Every day,33,Once a week or more but not every day,27,Once a month or more but not every week,23,Once a year or more but not every month,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,17,Extremely competitive,30,Highly competitive,33,Moderately competitive,20,Slightly competitive,,
Work Outcomes and Results of Other Workers,How responsible is the worker for work outcomes and results of other workers?,47,High responsibility,30,Moderate responsibility,17,Limited responsibility,,,,
